Wavefront_pumped_trans21 Wavefront_pumped_trans22 Wavefront_pumped_trans23 Wavefront_pumped_trans24 Wavefront_pumped_trans25 Wavefront_pumped_trans26 Wavefront_pumped_trans27 Wavefront_pumped_trans28 Wavefront_pumped_trans29 Wavefront_pumped_trans210 Wavefront_pumped_trans211 Wavefront_pumped_trans212 Wavefront_pumped_trans213 Wavefront_pumped_trans214 Wavefront_pumped_trans215 Wavefront_pumped_trans216 Wavefront_pumped_trans217 Wavefront_pumped_trans218 Wavefront_pumped_trans219 Wavefront_pumped_trans220 Wavefront_pumped_trans221 Wavefront_pumped_trans222 Wavefront_pumped_trans223 Wavefront_pumped_trans224 Wavefront_pumped_trans225 Wavefront_pumped_trans226 Wavefront_pumped_trans227 Wavefront_pumped_trans228 Wavefront_pumped_trans229 Wavefront_pumped_trans230 Wavefront_pumped_trans231 Wavefront_pumped_trans232 Wavefront_pumped_trans233 Wavefront_pumped_trans234 Wavefront_pumped_trans235 Wavefront_pumped_trans236 Wavefront_pumped_trans237 Wavefront_pumped_trans238 Wavefront_pumped_trans239 Wavefront_pumped_trans240
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.665025889873485 -0.627267970703521 -0.591090464033165 -0.56362528912721 -0.53064857237039 -0.49699715897437 -0.45823842752725 -0.425893264822615 -0.39813602156936 -0.38832435570653 -0.39281666837633 -0.3931090068072 -0.406744433566905 -0.438947860151535 -0.48684006184334 -0.533214097842555 -0.581288112327435 -0.63209221512077 -0.682685179635865 -0.74472158588467 -0.80876803398132 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.633000807836633 -0.591507067903855 -0.55185070261357 -0.524152853526145 -0.49411216843868 -0.45324090588836 -0.409540385939195 -0.37187604233618 -0.347130948677625 -0.330878655426165 -0.323614383116355 -0.317389957606805 -0.337584527209365 -0.37710411287841 -0.42070006206631 -0.4686159174889 -0.528799857944225 -0.587475266307575 -0.63875984214244 -0.69637059792874 -0.761912137269925 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.63724474981425 -0.604661017656303 -0.56217628251759 -0.521006297320105 -0.492891469970325 -0.462549224495875 -0.412331051193155 -0.363379701040705 -0.325136140920195 -0.30788817908611 -0.281098149716815 -0.25438207853587 -0.24993098899717 -0.27315359748894 -0.317306641489215 -0.35775537416336 -0.41334158368408 -0.4855878520757 -0.55157664977012 -0.60468313284216 -0.65165486373005 -0.71159638278184 -0.772919470444295 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.654973394237435 -0.612343046814185 -0.573827491607495 -0.53313962370155 -0.492108474951215 -0.455238902010015 -0.420030529610765 -0.37239635363221 -0.322527445387085 -0.27668589539826 -0.25344243273138 -0.22643691115079 -0.18948690220708 -0.176208621822285 -0.193253842182435 -0.244102787226445 -0.31282226927578 -0.38035860471425 -0.445495819672955 -0.509158397093395 -0.565611554309705 -0.611715739592887 -0.67099873349068 -0.73099781014025 -0.785353718325445 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.643480010330655 -0.589813750237201 -0.54099366068838 -0.499756101518825 -0.45585000142453 -0.409864286892075 -0.369527393951975 -0.33028227137401 -0.28526019817217 -0.232886590994845 -0.19027474150058 -0.156418809667235 -0.12875997275112 -0.11627218872307 -0.13061626162382 -0.18001190572975 -0.246229724958545 -0.32228318415581 -0.39215850830076 -0.46560014411804 -0.52231068722902 -0.5727357175201 -0.634197734296295 -0.69513165950773 -0.75088722631332 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.630272081121781 -0.5702371895313 -0.520417747087745 -0.47620634734628 -0.425944860558925 -0.372292906977205 -0.323903700336775 -0.291459811851365 -0.247019843198355 -0.187641806900495 -0.13059961050743 -0.101712651550735 -0.078440196812125 -0.0625618668272801 -0.08017211500556 -0.126995112746955 -0.18361677788198 -0.261483568698105 -0.337588205933535 -0.41823527589436 -0.47495306655765 -0.52829391695557 -0.59634768590329 -0.663852812722305 -0.72294300608335 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.618127131834604 -0.564688216894845 -0.509823463857155 -0.458204576745625 -0.409684373065795 -0.35184407886117 -0.30203489772974 -0.26545864343642 -0.21312425564972 -0.147093664854775 -0.0861589359119301 -0.0536973029375001 -0.0337030673399701 -0.0193571560084551 -0.03913997672495 -0.0805520936846301 -0.1439561899751 -0.22540340945124 -0.3018748993054 -0.369067728519455 -0.42610008362678 -0.48878516815603 -0.566296206787205 -0.636893523856975 -0.694300876930335 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.610061122104504 -0.559055322781185 -0.50482692662624 -0.446676433086356 -0.395782898180175 -0.338605846278355 -0.28965168632565 -0.250641237944302 -0.19580150768162 -0.133488783612845 -0.07613199297336 -0.0318327099084551 -0.00134699605403507 0.00834185443821491 -0.013283986598215 -0.056873269379115 -0.11536621581759 -0.19611034262922 -0.278050827793745 -0.342369527555945 -0.395355223678035 -0.459833511151375 -0.53725471906362 -0.609106238931395 -0.669768186286075 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.635480646975317 -0.59969918616114 -0.556168051436523 -0.502647131681403 -0.437296006828521 -0.382166019640862 -0.329069578088768 -0.283012139610951 -0.245537783950521 -0.193783679977025 -0.135548708494695 -0.08392429258671 -0.03363956278187 0 0.000537688843929914 -0.016957996413115 -0.051587696187135 -0.102779947221265 -0.17891901172697 -0.252549814060285 -0.31988419406115 -0.37779642827809 -0.434153075329925 -0.510140927508475 -0.583527455106355 -0.648235993459795 -0.70834634266792 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.594778196886162 -0.556401418521977 -0.499623099341975 -0.4335585320368 -0.377145105041547 -0.328882156871255 -0.284236482344549 -0.248396858572945 -0.204130607657076 -0.149346190504675 -0.0959275816567201 -0.03982490114867 -0.0105457054451101 -0.010227726772395 -0.0289978710934201 -0.064354079775495 -0.106821725144925 -0.166168952360715 -0.2355518694967 -0.30167393200096 -0.35579840652642 -0.41090405918657 -0.485218307003345 -0.556804308667755 -0.622739596292357 0.6 0.6 0.6 0.6 0.6
