Wavefront_pumped_notrans21 Wavefront_pumped_notrans22 Wavefront_pumped_notrans23 Wavefront_pumped_notrans24 Wavefront_pumped_notrans25 Wavefront_pumped_notrans26 Wavefront_pumped_notrans27 Wavefront_pumped_notrans28 Wavefront_pumped_notrans29 Wavefront_pumped_notrans210 Wavefront_pumped_notrans211 Wavefront_pumped_notrans212 Wavefront_pumped_notrans213 Wavefront_pumped_notrans214 Wavefront_pumped_notrans215 Wavefront_pumped_notrans216 Wavefront_pumped_notrans217 Wavefront_pumped_notrans218 Wavefront_pumped_notrans219 Wavefront_pumped_notrans220 Wavefront_pumped_notrans221 Wavefront_pumped_notrans222 Wavefront_pumped_notrans223 Wavefront_pumped_notrans224 Wavefront_pumped_notrans225 Wavefront_pumped_notrans226 Wavefront_pumped_notrans227 Wavefront_pumped_notrans228 Wavefront_pumped_notrans229 Wavefront_pumped_notrans230 Wavefront_pumped_notrans231 Wavefront_pumped_notrans232 Wavefront_pumped_notrans233 Wavefront_pumped_notrans234 Wavefront_pumped_notrans235 Wavefront_pumped_notrans236 Wavefront_pumped_notrans237 Wavefront_pumped_notrans238 Wavefront_pumped_notrans239 Wavefront_pumped_notrans240
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.48718537390229 -0.457040621899035 -0.42785518709567 -0.409187821671315 -0.386127797886695 -0.36008973047137 -0.3307662801817 -0.304040747694665 -0.27946670539676 -0.27624436281618 -0.28814204595978 -0.291523149237 -0.302479756996005 -0.326737236231535 -0.36703746765849 -0.40519401989873 -0.444711087271535 -0.48700740188357 -0.527367813512647 -0.5781284216791 -0.63350327312945 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.460942061617935 -0.425890346989 -0.395555566996335 -0.377906055189645 -0.35488060582428 -0.32064213324336 -0.288552486337695 -0.26135839149353 -0.243278959766025 -0.238145257346265 -0.239844957366555 -0.238800920546005 -0.254770645871715 -0.28281559236346 -0.31651468202466 -0.35562816821035 -0.40434003993864 -0.448508989065855 -0.48926167748865 -0.535992797464097 -0.592630878090825 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.465159539133275 -0.438417278230155 -0.40273560117925 -0.37133322283621 -0.352960007265175 -0.327837243676125 -0.287010713480405 -0.253045289777205 -0.226553917862445 -0.21472681965671 -0.204622797667965 -0.19094171095637 -0.18947670981287 -0.20812232233579 -0.237006995826915 -0.26938356086606 -0.31551395542918 -0.3677200246602 -0.41665605269369 -0.45914276130494 -0.497310677543247 -0.54951995424923 -0.60550599731501 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.479028305970095 -0.445749174803465 -0.41337020834905 -0.378435969352685 -0.348323154728815 -0.322254733182465 -0.294584858231215 -0.25739933922881 -0.219477347563885 -0.19023491628466 -0.17455997690553 -0.15983968786889 -0.13719649240373 -0.128197840414885 -0.140415933914435 -0.175789307802845 -0.23304957337678 -0.2884977590292 -0.334222992882105 -0.382286148145795 -0.427859222516385 -0.46599394641813 -0.51575450226661 -0.56802062131461 -0.61354513280089 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.4724597856402 -0.428142722696025 -0.386799521744185 -0.352039944380465 -0.31992127373813 -0.290067645721125 -0.261364521458725 -0.22695305990051 -0.19038896029812 -0.159514182247195 -0.12944098934528 -0.106189647689435 -0.09044755250212 -0.07969527691597 -0.08947133924807 -0.1290404722094 -0.186709033325245 -0.24132286570961 -0.28849545866246 -0.34715497866269 -0.393740182742445 -0.435501573607295 -0.48431213945147 -0.534495994448625 -0.58169166371223 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.462765341624585 -0.41248215734955 -0.373072755522995 -0.33717943727968 -0.301548499148325 -0.265682690776855 -0.230120947584475 -0.202211780473565 -0.164944500662355 -0.126806922256895 -0.08622086793178 -0.069168932735885 -0.057199753820875 -0.04282267112283 -0.05802323762321 -0.095424886792855 -0.14201535843308 -0.194417301565355 -0.244899466633785 -0.30828695371746 -0.35457376763225 -0.399353610351605 -0.45328747853633 -0.505617352202498 -0.554862542077865 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.452310437336529 -0.407165985554445 -0.365165181457995 -0.322752827778425 -0.291054299101195 -0.25697624590247 -0.21794247440989 -0.18182472884652 -0.13919963967052 -0.097208734601725 -0.05343941319728 -0.03678728640075 -0.03167682234192 -0.017703216522855 -0.0322614815086 -0.06412973254913 -0.11172116361555 -0.16756425425409 -0.2174154752865 -0.269148468971205 -0.31422972772268 -0.36168934218583 -0.425449842587085 -0.481931908056105 -0.52641472406682 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.444439684972131 -0.40273592807348 -0.35871464107179 -0.311996020376656 -0.280911917798225 -0.247092391364205 -0.208920264616599 -0.172266107052502 -0.12875277921552 -0.086513841524695 -0.04230462852861 -0.020987674593905 -0.011174833402035 0.00253087840976495 -0.00971344485871499 -0.042439721524665 -0.08381540607659 -0.13823928404597 -0.194729003123895 -0.243730069138045 -0.282735577784435 -0.332131014205475 -0.397070383652995 -0.45655102655288 -0.503065349534124 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.463310708291796 -0.431530641391837 -0.396025793626848 -0.354964703321422 -0.306694384664271 -0.273677966557412 -0.239804872311617 -0.201955053023951 -0.16963182017207 -0.129420453682525 -0.089028728660145 -0.04530264344061 -0.01364072924477 0 0.00408070813867998 -0.005872724577715 -0.032069082371835 -0.068196602165615 -0.11648903228337 -0.165513934567535 -0.21966220252215 -0.26296267099674 -0.305474097840425 -0.369927639141675 -0.431045064702595 -0.484222294762695 -0.533639987930623 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.424181023612576 -0.393325673416217 -0.354448797181225 -0.3079648101702 -0.273165293969147 -0.243108130060105 -0.205579272471299 -0.172972589731195 -0.137278693728126 -0.098489540629025 -0.05503447400402 -0.01617237739262 -0.00335558224466001 0.00206406228245504 -0.00803095381701999 -0.035083401016895 -0.064463088288875 -0.101960638537965 -0.14983390830455 -0.20412006787951 -0.24289507977662 -0.28416292555627 -0.348487196490145 -0.407707730308105 -0.46058465354141 0.6 0.6 0.6 0.6 0.6
